Argument ID,Date,Duration (minutes),Topic,Emotional Tone,Resolution Type,Mood Swing,Notes
29,2024-02-02,9,Parenting Styles,Annoyed,Compromise,Mild,Discussed parenting styles for 9 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Compromise.
30,2024-02-23,25,Money Management,Disappointed,No Resolution,Severe,Discussed money management for 25 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: No Resolution.
31,2024-02-25,41,Money Management,Angry,Apology,None,Discussed money management for 41 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: Apology.
32,2024-01-20,57,Time Management,Supportive,Compromise,Moderate,Discussed time management for 57 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Compromise.
33,2024-02-03,29,Personal Space,Annoyed,Apology,Mild,Discussed personal space for 29 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Apology.
34,2024-01-13,22,Personal Space,Frustrated,Apology,Moderate,Discussed personal space for 22 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Apology.
35,2024-01-26,12,Family Responsibilities,Annoyed,Resolution Discussed,Moderate,Discussed family responsibilities for 12 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
36,2024-01-05,21,Money Management,Supportive,No Resolution,None,Discussed money management for 21 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: No Resolution.
37,2024-01-13,50,Personal Space,Calm,No Resolution,None,Discussed personal space for 50 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: No Resolution.
38,2024-01-03,55,Money Management,Calm,Compromise,Moderate,Discussed money management for 55 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Compromise.
39,2024-02-09,21,Future Goals,Frustrated,Compromise,Severe,Discussed future goals for 21 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Compromise.
40,2024-02-28,26,Future Goals,Hurt,Apology,Moderate,Discussed future goals for 26 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: Apology.
41,2024-01-04,19,Money Management,Angry,Apology,Moderate,Discussed money management for 19 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Apology.
42,2024-01-09,15,Family Responsibilities,Supportive,Apology,Mild,Discussed family responsibilities for 15 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Apology.
43,2024-01-06,39,Time Management,Frustrated,Resolution Discussed,Moderate,Discussed time management for 39 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
44,2024-01-01,53,Social Activities,Hurt,No Resolution,None,Discussed social activities for 53 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: No Resolution.
45,2024-02-11,59,Time Management,Happy,Resolution Discussed,Mild,Discussed time management for 59 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Resolution Discussed.
46,2024-01-25,43,Personal Space,Frustrated,Apology,Severe,Discussed personal space for 43 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Apology.
47,2024-01-05,57,Parenting Styles,Disappointed,Compromise,Mild,Discussed parenting styles for 57 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Compromise.
48,2024-01-24,53,Household Chores,Frustrated,Apology,Moderate,Discussed household chores for 53 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Apology.
49,2024-02-18,18,Time Management,Calm,Apology,Moderate,Discussed time management for 18 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Apology.
50,2024-01-01,5,Future Goals,Hurt,Compromise,None,Discussed future goals for 5 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Compromise.
51,2024-01-17,35,Future Goals,Angry,No Resolution,Moderate,Discussed future goals for 35 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: No Resolution.
52,2024-01-03,35,Future Goals,Annoyed,Resolution Discussed,Moderate,Discussed future goals for 35 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
53,2024-01-28,6,Family Responsibilities,Supportive,Resolution Discussed,Moderate,Discussed family responsibilities for 6 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
54,2024-02-07,39,Parenting Styles,Disappointed,Resolution Discussed,None,Discussed parenting styles for 39 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
55,2024-01-27,7,Household Chores,Supportive,Compromise,Moderate,Discussed household chores for 7 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Compromise.
56,2024-02-26,46,Parenting Styles,Disappointed,No Resolution,Mild,Discussed parenting styles for 46 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: No Resolution.
57,2024-02-21,31,Money Management,Calm,No Resolution,Mild,Discussed money management for 31 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: No Resolution.
58,2024-01-06,43,Future Goals,Calm,Resolution Discussed,Mild,Discussed future goals for 43 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Resolution Discussed.
59,2024-01-25,60,Social Activities,Annoyed,Apology,Moderate,Discussed social activities for 60 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
60,2024-01-26,29,Family Responsibilities,Supportive,Apology,Severe,Discussed family responsibilities for 29 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Apology.
61,2024-02-16,54,Money Management,Hurt,Resolution Discussed,None,Discussed money management for 54 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Resolution Discussed.
62,2024-01-04,45,Time Management,Hurt,Resolution Discussed,Mild,Discussed time management for 45 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Resolution Discussed.
63,2024-02-12,25,Time Management,Frustrated,No Resolution,Severe,Discussed time management for 25 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
64,2024-01-17,9,Time Management,Annoyed,Compromise,Moderate,Discussed time management for 9 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Compromise.
65,2024-02-05,18,Household Chores,Happy,Resolution Discussed,Severe,Discussed household chores for 18 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: Resolution Discussed.
66,2024-01-18,40,Family Responsibilities,Hurt,Resolution Discussed,None,Discussed family responsibilities for 40 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Resolution Discussed.
67,2024-01-31,38,Parenting Styles,Hurt,No Resolution,Mild,Discussed parenting styles for 38 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: No Resolution.
68,2024-02-01,57,Parenting Styles,Angry,Resolution Discussed,Moderate,Discussed parenting styles for 57 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
69,2024-01-17,56,Personal Space,Supportive,Compromise,None,Discussed personal space for 56 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: Compromise.
70,2024-02-16,58,Family Responsibilities,Hurt,No Resolution,Mild,Discussed family responsibilities for 58 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: No Resolution.
71,2024-02-01,60,Money Management,Annoyed,No Resolution,Severe,Discussed money management for 60 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
72,2024-01-24,34,Future Goals,Calm,Compromise,None,Discussed future goals for 34 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: Compromise.
73,2024-02-08,33,Household Chores,Hurt,Apology,None,Discussed household chores for 33 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Apology.
74,2024-02-10,17,Personal Space,Supportive,No Resolution,Mild,Discussed personal space for 17 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: No Resolution.
75,2024-01-02,31,Household Chores,Happy,Apology,Moderate,Discussed household chores for 31 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Apology.
76,2024-02-18,10,Personal Space,Calm,No Resolution,Mild,Discussed personal space for 10 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: No Resolution.
77,2024-01-18,60,Family Responsibilities,Angry,Apology,Mild,Discussed family responsibilities for 60 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Apology.
78,2024-01-24,24,Personal Space,Supportive,Compromise,Mild,Discussed personal space for 24 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Compromise.
79,2024-02-27,51,Personal Space,Angry,Resolution Discussed,Severe,Discussed personal space for 51 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Resolution Discussed.
80,2024-01-26,59,Family Responsibilities,Angry,Resolution Discussed,Moderate,Discussed family responsibilities for 59 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
81,2024-01-19,40,Parenting Styles,Hurt,Apology,Severe,Discussed parenting styles for 40 minutes. Emotional tone was Hurt. Mood swings observed: Severe. Resolution type: Apology.
82,2024-02-01,10,Family Responsibilities,Calm,Apology,Mild,Discussed family responsibilities for 10 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
83,2024-01-14,12,Money Management,Angry,Resolution Discussed,None,Discussed money management for 12 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: Resolution Discussed.
84,2024-02-23,28,Household Chores,Happy,Compromise,Moderate,Discussed household chores for 28 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Compromise.
85,2024-01-15,45,Time Management,Annoyed,Resolution Discussed,Severe,Discussed time management for 45 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Resolution Discussed.
86,2024-02-17,7,Family Responsibilities,Happy,Apology,Moderate,Discussed family responsibilities for 7 minutes. Emotional tone was Happy. Mood swings observed: Moderate. Resolution type: Apology.
87,2024-01-08,5,Future Goals,Angry,No Resolution,None,Discussed future goals for 5 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: No Resolution.
88,2024-01-27,20,Time Management,Angry,Compromise,Moderate,Discussed time management for 20 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Compromise.
89,2024-02-16,11,Household Chores,Angry,Resolution Discussed,Moderate,Discussed household chores for 11 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
90,2024-02-02,24,Parenting Styles,Supportive,Apology,Mild,Discussed parenting styles for 24 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Apology.
91,2024-01-26,52,Social Activities,Frustrated,Compromise,Severe,Discussed social activities for 52 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Compromise.
92,2024-01-10,17,Social Activities,Happy,Apology,None,Discussed social activities for 17 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Apology.
93,2024-02-29,57,Family Responsibilities,Supportive,No Resolution,None,Discussed family responsibilities for 57 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: No Resolution.
94,2024-02-20,54,Household Chores,Hurt,Resolution Discussed,Mild,Discussed household chores for 54 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: Resolution Discussed.
95,2024-02-22,16,Personal Space,Disappointed,Apology,Moderate,Discussed personal space for 16 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: Apology.
96,2024-01-12,48,Household Chores,Calm,Apology,Moderate,Discussed household chores for 48 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Apology.
97,2024-02-14,11,Family Responsibilities,Annoyed,Compromise,None,Discussed family responsibilities for 11 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Compromise.
98,2024-01-14,38,Personal Space,Angry,No Resolution,Mild,Discussed personal space for 38 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: No Resolution.
99,2024-01-16,51,Time Management,Angry,Resolution Discussed,Mild,Discussed time management for 51 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Resolution Discussed.
100,2024-02-05,52,Money Management,Happy,Compromise,None,Discussed money management for 52 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Compromise.
101,2024-01-13,23,Parenting Styles,Angry,No Resolution,None,Discussed parenting styles for 23 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: No Resolution.
102,2024-01-12,7,Money Management,Angry,Resolution Discussed,Mild,Discussed money management for 7 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Resolution Discussed.
103,2024-01-09,56,Future Goals,Calm,Apology,Moderate,Discussed future goals for 56 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Apology.
104,2024-01-13,54,Parenting Styles,Calm,Compromise,Moderate,Discussed parenting styles for 54 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Compromise.
105,2024-02-26,60,Money Management,Calm,Compromise,Moderate,Discussed money management for 60 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: Compromise.
106,2024-01-17,11,Family Responsibilities,Calm,Compromise,Mild,Discussed family responsibilities for 11 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Compromise.
107,2024-01-22,21,Personal Space,Disappointed,No Resolution,Moderate,Discussed personal space for 21 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: No Resolution.
108,2024-02-23,45,Social Activities,Supportive,Compromise,Severe,Discussed social activities for 45 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Compromise.
109,2024-01-05,35,Household Chores,Supportive,Resolution Discussed,Mild,Discussed household chores for 35 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Resolution Discussed.
110,2024-02-12,23,Money Management,Annoyed,No Resolution,Severe,Discussed money management for 23 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: No Resolution.
111,2024-02-22,9,Time Management,Frustrated,Resolution Discussed,Moderate,Discussed time management for 9 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
112,2024-02-28,45,Parenting Styles,Angry,Compromise,Moderate,Discussed parenting styles for 45 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Compromise.
113,2024-01-12,14,Household Chores,Calm,Apology,Mild,Discussed household chores for 14 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
114,2024-01-14,49,Money Management,Happy,Resolution Discussed,Severe,Discussed money management for 49 minutes. Emotional tone was Happy. Mood swings observed: Severe. Resolution type: Resolution Discussed.
115,2024-02-23,29,Parenting Styles,Disappointed,Resolution Discussed,Severe,Discussed parenting styles for 29 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Resolution Discussed.
116,2024-01-14,46,Parenting Styles,Supportive,Compromise,Severe,Discussed parenting styles for 46 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Compromise.
117,2024-02-08,43,Household Chores,Disappointed,No Resolution,Moderate,Discussed household chores for 43 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: No Resolution.
118,2024-02-12,10,Money Management,Calm,Apology,Mild,Discussed money management for 10 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
119,2024-03-01,31,Family Responsibilities,Angry,Compromise,Severe,Discussed family responsibilities for 31 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Compromise.
120,2024-01-03,7,Family Responsibilities,Frustrated,No Resolution,None,Discussed family responsibilities for 7 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: No Resolution.
121,2024-02-03,34,Family Responsibilities,Calm,Compromise,None,Discussed family responsibilities for 34 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: Compromise.
122,2024-01-12,15,Money Management,Supportive,Resolution Discussed,Moderate,Discussed money management for 15 minutes. Emotional tone was Supportive. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
123,2024-02-08,28,Personal Space,Supportive,Apology,Severe,Discussed personal space for 28 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Apology.
124,2024-01-13,39,Money Management,Frustrated,Compromise,Moderate,Discussed money management for 39 minutes. Emotional tone was Frustrated. Mood swings observed: Moderate. Resolution type: Compromise.
125,2024-02-21,21,Family Responsibilities,Frustrated,No Resolution,None,Discussed family responsibilities for 21 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: No Resolution.
126,2024-01-14,27,Personal Space,Annoyed,Compromise,Mild,Discussed personal space for 27 minutes. Emotional tone was Annoyed. Mood swings observed: Mild. Resolution type: Compromise.
127,2024-01-03,18,Social Activities,Angry,Resolution Discussed,Moderate,Discussed social activities for 18 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
128,2024-02-17,7,Money Management,Disappointed,Compromise,Mild,Discussed money management for 7 minutes. Emotional tone was Disappointed. Mood swings observed: Mild. Resolution type: Compromise.
129,2024-01-14,30,Household Chores,Frustrated,No Resolution,Severe,Discussed household chores for 30 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: No Resolution.
130,2024-01-31,24,Parenting Styles,Happy,Resolution Discussed,Mild,Discussed parenting styles for 24 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Resolution Discussed.
131,2024-02-07,22,Household Chores,Supportive,No Resolution,None,Discussed household chores for 22 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: No Resolution.
132,2024-02-04,60,Personal Space,Supportive,Apology,None,Discussed personal space for 60 minutes. Emotional tone was Supportive. Mood swings observed: None. Resolution type: Apology.
133,2024-02-20,29,Personal Space,Calm,Apology,Mild,Discussed personal space for 29 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
134,2024-02-27,54,Future Goals,Angry,Apology,None,Discussed future goals for 54 minutes. Emotional tone was Angry. Mood swings observed: None. Resolution type: Apology.
135,2024-02-16,42,Parenting Styles,Hurt,Resolution Discussed,Moderate,Discussed parenting styles for 42 minutes. Emotional tone was Hurt. Mood swings observed: Moderate. Resolution type: Resolution Discussed.
136,2024-02-08,18,Personal Space,Annoyed,Apology,Moderate,Discussed personal space for 18 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: Apology.
137,2024-02-22,17,Parenting Styles,Calm,Apology,Mild,Discussed parenting styles for 17 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: Apology.
138,2024-01-04,60,Social Activities,Annoyed,Resolution Discussed,None,Discussed social activities for 60 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Resolution Discussed.
139,2024-01-06,52,Personal Space,Angry,No Resolution,Severe,Discussed personal space for 52 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: No Resolution.
140,2024-01-06,56,Future Goals,Supportive,Apology,Mild,Discussed future goals for 56 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: Apology.
141,2024-01-07,8,Social Activities,Calm,Resolution Discussed,None,Discussed social activities for 8 minutes. Emotional tone was Calm. Mood swings observed: None. Resolution type: Resolution Discussed.
142,2024-01-24,56,Household Chores,Supportive,No Resolution,Mild,Discussed household chores for 56 minutes. Emotional tone was Supportive. Mood swings observed: Mild. Resolution type: No Resolution.
143,2024-02-22,34,Personal Space,Annoyed,Apology,Severe,Discussed personal space for 34 minutes. Emotional tone was Annoyed. Mood swings observed: Severe. Resolution type: Apology.
144,2024-02-16,33,Family Responsibilities,Happy,Resolution Discussed,None,Discussed family responsibilities for 33 minutes. Emotional tone was Happy. Mood swings observed: None. Resolution type: Resolution Discussed.
145,2024-02-27,60,Money Management,Disappointed,No Resolution,Moderate,Discussed money management for 60 minutes. Emotional tone was Disappointed. Mood swings observed: Moderate. Resolution type: No Resolution.
146,2024-02-13,35,Time Management,Frustrated,Apology,Severe,Discussed time management for 35 minutes. Emotional tone was Frustrated. Mood swings observed: Severe. Resolution type: Apology.
147,2024-02-22,33,Time Management,Hurt,No Resolution,Mild,Discussed time management for 33 minutes. Emotional tone was Hurt. Mood swings observed: Mild. Resolution type: No Resolution.
148,2024-01-19,16,Personal Space,Disappointed,Resolution Discussed,None,Discussed personal space for 16 minutes. Emotional tone was Disappointed. Mood swings observed: None. Resolution type: Resolution Discussed.
149,2024-01-19,43,Social Activities,Disappointed,Apology,Severe,Discussed social activities for 43 minutes. Emotional tone was Disappointed. Mood swings observed: Severe. Resolution type: Apology.
150,2024-01-24,9,Parenting Styles,Calm,No Resolution,Moderate,Discussed parenting styles for 9 minutes. Emotional tone was Calm. Mood swings observed: Moderate. Resolution type: No Resolution.
151,2024-02-24,53,Time Management,Supportive,Resolution Discussed,Severe,Discussed time management for 53 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: Resolution Discussed.
152,2024-02-13,27,Social Activities,Angry,Resolution Discussed,Mild,Discussed social activities for 27 minutes. Emotional tone was Angry. Mood swings observed: Mild. Resolution type: Resolution Discussed.
153,2024-01-03,36,Parenting Styles,Annoyed,Apology,None,Discussed parenting styles for 36 minutes. Emotional tone was Annoyed. Mood swings observed: None. Resolution type: Apology.
154,2024-02-11,51,Parenting Styles,Supportive,No Resolution,Severe,Discussed parenting styles for 51 minutes. Emotional tone was Supportive. Mood swings observed: Severe. Resolution type: No Resolution.
155,2024-02-17,32,Social Activities,Angry,Apology,Severe,Discussed social activities for 32 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Apology.
156,2024-02-21,20,Family Responsibilities,Hurt,No Resolution,None,Discussed family responsibilities for 20 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: No Resolution.
157,2024-02-14,18,Personal Space,Angry,Apology,Moderate,Discussed personal space for 18 minutes. Emotional tone was Angry. Mood swings observed: Moderate. Resolution type: Apology.
158,2024-01-17,24,Money Management,Happy,Apology,Mild,Discussed money management for 24 minutes. Emotional tone was Happy. Mood swings observed: Mild. Resolution type: Apology.
159,2024-02-04,13,Personal Space,Angry,Compromise,Severe,Discussed personal space for 13 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Compromise.
160,2024-02-21,36,Social Activities,Frustrated,No Resolution,None,Discussed social activities for 36 minutes. Emotional tone was Frustrated. Mood swings observed: None. Resolution type: No Resolution.
161,2024-02-25,33,Money Management,Calm,No Resolution,Mild,Discussed money management for 33 minutes. Emotional tone was Calm. Mood swings observed: Mild. Resolution type: No Resolution.
162,2024-02-20,48,Personal Space,Angry,Resolution Discussed,Severe,Discussed personal space for 48 minutes. Emotional tone was Angry. Mood swings observed: Severe. Resolution type: Resolution Discussed.
163,2024-01-17,31,Social Activities,Hurt,Apology,None,Discussed social activities for 31 minutes. Emotional tone was Hurt. Mood swings observed: None. Resolution type: Apology.
164,2024-01-12,38,Household Chores,Annoyed,No Resolution,Moderate,Discussed household chores for 38 minutes. Emotional tone was Annoyed. Mood swings observed: Moderate. Resolution type: No Resolution.
